266,Sagar,Madhya Pradesh,1026.3
267,Satna,Madhya Pradesh,754
268,Sehore,Madhya Pradesh,679.5
269,Seoni,Madhya Pradesh,942.9
270,Shahdol,Madhya Pradesh,945.2
271,Shajapur,Madhya Pradesh,692.7
272,Sheopur,Madhya Pradesh,769.1
273,Shivpuri,Madhya Pradesh,795.5
274,Sidhi,Madhya Pradesh,785.4
275,Tikamgarh,Madhya Pradesh,1316.5
276,Ujjain,Madhya Pradesh,639.6
277,Umaria,Madhya Pradesh,1087.8
278,Vidisha,Madhya Pradesh,1169.1
279,Ahmednagar,Maharashtra,648.9
280,Akola,Maharashtra,593.4
281,Amraoti,Maharashtra,600.9
282,Aurangabad,Maharashtra,684.2
283,Beed,Maharashtra,607.1
284,Bhandara,Maharashtra,N.A.
285,Buldana,Maharashtra,634.2
286,Chandrapur,Maharashtra,1074.4
287,Dhulie,Maharashtra,472.1
288,Gadchiroli,Maharashtra,N.A.
289,Gondia,Maharashtra,1115.9
290,Jalgaon,Maharashtra,547.3
291,Jalna,Maharashtra,N.A.
292,Kolhapur,Maharashtra,2082
293,Latur,Maharashtra,710.3
294,Mumbai,Maharashtra,2532.8
295,Nagpur,Maharashtra,840.8
296,Nanded,Maharashtra,N.A.
297,Nandurbar,Maharashtra,1038.5
298,Nasik,Maharashtra,1184.1
299,Osmanabad,Maharashtra,771.2
300,Parbhani,Maharashtra,709.1
301,Pune,Maharashtra,810
302,Raigad,Maharashtra,3323.2
303,Ratnagiri,Maharashtra,2991.2
304,Sangli,Maharashtra,726
305,Satara,Maharashtra,862.1
306,Sholapur,Maharashtra,672.5
307,Sindhudurg,Maharashtra,3058.9
308,Thane,Maharashtra,2781.4
309,Wardha,Maharashtra,818.6
310,Washim,Maharashtra,670.2
311,Yeotmal,Maharashtra,704.5
312,Churachandpur,Manipur,N.A.
313,Imphal,Manipur,1062.8
314,Senapati,Manipur,1101.2
315,East Garo Hills,Meghalaya,3162.7
316,East Khasi Hills,Meghalaya,6885.2
